ID;income;age;gender;education_level
12182;86519.60853725462;45;M;2.0
81213;83085.8649802595;30;M;2.0
1996;82606.21497330995;22;M;2.0
9366;81551.22998789378;36;M;2.0
9733;79593.25322417985;51;M;1.0
16224;79527.24904388428;52;F;3.0
21420;78821.0653724373;48;M;1.0
69458;78429.31644293101;49;M;3.0
56872;78211.30721328966;51;M;2.0
50767;77829.59474706225;37;M;3.0
65033;77667.28098955544;33;M;3.0
23777;77553.4014235351;33;M;2.0
15177;77135.11404577177;45;F;1.0
65024;77075.99552329964;55;M;2.0
48887;76524.86820634571;34;M;1.0
17233;76393.5230340761;36;F;2.0
94613;75989.72219457035;30;F;2.0
96440;75894.80764299934;40;M;2.0
39513;75769.31586971744;30;F;2.0
95263;75730.42020413234;40;F;2.0
81152;75596.01034942397;25;M;3.0
70399;75584.86871202917;41;F;1.0
92051;75337.49127260022;56;M;2.0
79242;75257.36802489572;41;M;1.0
78917;74952.85089179146;26;M;1.0
44457;74874.3611294579;36;M;1.0
23221;74620.58815013936;52;F;3.0
5972;74374.28399071362;26;M;1.0
64749;74321.65081998205;47;M;2.0
44060;74242.04774037891;37;F;0.0
16616;74224.03728702918;32;F;3.0
16755;74170.77465727236;22;F;3.0
18793;73963.33464397534;53;F;3.0
47460;73961.88971039999;38;M;0.0
71587;73772.98493461347;38;F;2.0
50048;73735.66713854481;46;F;1.0
74581;73660.60976837606;58;M;1.0
2980;73572.54700676739;31;F;3.0
24256;73553.03488870608;60;F;1.0
13616;73541.54722276979;43;M;3.0
65605;73527.28204112769;45;F;1.0
42872;73502.73154834815;30;M;2.0
4988;73482.71086432395;43;F;3.0
47551;73396.76444706292;36;F;3.0
12491;73302.9744256314;58;F;2.0
65987;73285.32264802503;60;F;1.0
43258;73249.07309786904;35;F;3.0
44748;73201.56704555455;23;M;2.0
90123;73043.27528927127;39;F;1.0
46459;73031.96431591213;51;M;2.0
14299;72999.63046534103;50;F;1.0
87666;72932.76275393335;43;M;1.0
46980;72917.32578101306;29;M;2.0
13915;72881.0750558933;34;F;3.0
37560;72834.6080099087;42;F;1.0
46767;72740.48676720534;25;M;3.0
22503;72721.90168833584;54;M;3.0
1245;72711.90537331521;58;M;3.0
12708;72698.98806892165;44;F;1.0
35818;72670.8432608968;38;M;3.0
49836;72612.80596652081;63;F;3.0
96087;72574.33638528708;34;M;3.0
59507;72494.4841515685;34;F;2.0
97960;72465.04494116257;63;F;3.0
8953;72433.85730469153;32;F;2.0
7055;72431.87249723272;49;F;1.0
1802;72406.98011658761;57;M;1.0
45203;72399.67661784618;26;M;2.0
42457;72384.86048860828;19;M;2.0
31984;72363.51427244674;25;M;3.0
76892;72327.81109694528;63;M;3.0
70112;72239.61953438388;25;M;3.0
29148;72217.99618814973;40;M;2.0
82208;72196.82047084504;21;F;3.0
28063;72174.60702186885;62;F;2.0
94539;72121.48932621811;53;M;1.0
57221;72029.90885572927;42;M;1.0
2458;72001.38712704307;49;F;2.0
89989;71995.57958927503;33;M;2.0
14799;71929.58405316959;49;F;1.0
61466;71897.51955232825;38;M;3.0
10058;71823.80205064171;47;F;1.0
94277;71712.76613690774;62;M;2.0
45784;112068.49839399938;46;M;3.0
22538;71578.62789097555;44;F;1.0
97353;71561.8986775823;41;M;0.0
20340;71521.30564027515;40;M;3.0
59472;71483.09265550235;21;F;2.0
7301;71421.03782330145;38;F;1.0
58994;71406.10802060693;57;F;1.0
37505;71405.89539743283;31;F;2.0
59081;71383.17150233942;48;M;2.0
1305;71346.90662801357;64;M;0.0
18310;71318.0740874051;53;F;2.0
11423;71202.81396064335;59;M;3.0
39900;71141.77905982613;21;F;2.0
12730;71087.97683817105;55;M;2.0
95516;71076.20792754859;19;M;1.0
28340;71039.6229040986;34;M;1.0
34247;70949.67038896676;50;M;2.0
66466;70933.57447578415;48;F;1.0
54183;70850.89890961297;40;M;3.0
84280;70831.21910448564;35;F;2.0
47954;70799.73107764698;47;F;3.0
19837;70796.77747801275;33;F;1.0
35379;70769.45646693883;43;M;2.0
83699;70762.50626434278;46;F;1.0
90443;70750.23669118343;61;M;3.0
7351;70747.48649854216;57;F;3.0
84436;70744.66224399778;43;F;3.0
15011;70679.69705578801;44;F;2.0
53821;70669.548618931;64;F;2.0
86399;70656.78835375002;32;M;3.0
8366;70625.75433354429;57;M;2.0
80319;70622.36729921718;28;F;2.0
72786;70622.067580185;31;F;0.0
53556;70573.13252001183;51;M;1.0
47560;70566.66330130918;33;F;3.0
22805;70550.61529280896;27;F;2.0
3150;70544.68223455694;52;F;2.0
56008;70541.0507797983;60;M;3.0
74336;70535.09105255165;34;F;2.0
2029;70524.45460783622;42;F;3.0
32272;70522.01997014091;28;F;3.0
64914;70496.07854009519;30;F;3.0
92949;70473.61313060448;29;F;1.0
47907;70438.025796063;42;F;1.0
91160;70435.59498938723;36;M;2.0
47723;70381.80784067106;31;F;1.0
779;70374.46533928523;56;M;1.0
89124;70366.89936728595;53;F;2.0
23737;70293.59073115938;59;F;3.0
80758;70260.32552899938;37;M;2.0
37653;70164.57570488313;41;M;3.0
98239;70163.88750911433;38;F;3.0
50968;70154.10581283875;49;M;2.0
2888;70121.30216696119;58;F;2.0
39565;70120.24526645422;44;M;3.0
13018;70115.14152067543;34;F;0.0
66852;70102.63557114606;43;F;2.0
16276;70081.65974141813;36;M;3.0
96257;70076.35799071932;39;F;0.0
64841;70070.08729609557;40;M;2.0
19820;70046.81002094888;55;M;2.0
19962;70039.5246707981;22;M;2.0
43259;70039.43273444225;25;M;3.0
70531;70018.46334612643;27;F;3.0
4111;70017.0493884228;40;F;2.0
75798;69994.56218052332;29;F;2.0
44787;69992.57039235829;40;M;2.0
78788;69914.76838705919;27;M;2.0
86105;69903.6443254558;32;F;2.0
95803;69871.8500498445;33;M;2.0
3387;69868.9888071279;18;M;0.0
23435;69864.90677755653;44;F;2.0
72974;69810.36029493801;28;M;1.0
1814;69786.56111478258;55;F;2.0
23326;69768.3376522061;34;M;3.0
22258;69759.16349886489;28;F;1.0
48863;69750.32032158291;33;F;3.0
58098;69746.63912542292;42;F;2.0
45177;69733.60722054382;32;M;2.0
19321;69685.24215744762;63;F;1.0
32237;69679.39010460442;29;M;2.0
62929;69676.75336379404;30;F;0.0
13933;69668.40538795292;28;F;2.0
72661;69640.22770253094;44;F;2.0
90260;69631.99228400004;19;F;2.0
6264;69611.4821709643;47;M;2.0
79912;69610.64079255404;48;M;2.0
21612;69596.37132318807;35;M;1.0
14084;69585.4332790793;62;F;1.0
71644;69574.6279780484;49;M;1.0
47485;69570.12706503032;36;F;2.0
74020;69568.54679616359;31;F;1.0
27237;69557.2681056728;22;M;2.0
76447;69557.22681475061;43;M;2.0
52174;69546.94437574112;20;M;1.0
38557;69504.6850761734;47;M;1.0
70205;69494.45630544302;33;M;2.0
48490;69468.94703182604;63;M;3.0
94514;69463.74529898298;25;F;1.0
86823;69461.28801405567;44;M;2.0
66345;69449.7056304453;27;M;3.0
54765;69412.96315535714;45;F;3.0
24053;69404.89825562912;35;M;1.0
77884;69400.31580870289;59;F;3.0
55623;69391.52939986845;40;M;2.0
14557;69377.88561486841;46;F;1.0
30062;69376.94855802118;40;F;2.0
70282;69342.03862963238;32;M;0.0
87262;69325.73181472451;44;M;3.0
91143;69297.21904529877;48;M;1.0
11592;69280.95865779134;40;F;1.0
88330;69276.30248132523;35;F;3.0
44899;69270.14552662426;39;M;0.0
49790;69264.6020616994;23;M;2.0
